Name,Age,Overall,Potential,Team,Main Position
Kylian Mbappe,20,89,95,Paris Saint Germain,ST
Lionel Messi,32,94,94,FC Barcelona,RW
Joao Felix,19,80,93,Atletico Madrid,CF
Matthijs de Ligt,19,85,93,Juventus,CB
Jan Oblak,26,91,93,Atletico Madrid,GK
Marc-Andre ter Stegen,27,90,93,FC Barcelona,GK
Cristiano Ronaldo,34,93,93,Juventus,ST
Vinicius Junior,18,79,92,Real Madrid,LW
Kai Havertz,20,84,92,Bayer 04 Leverkusen,CAM
Jadon Sancho,19,84,92,Borussia Dortmund,RM
Gianluigi Donnarumma,20,85,92,Milan,GK
Leroy Sane,23,86,92,Manchester City,LW
Paulo Dybala,25,88,92,Juventus,CAM
Neymar,27,92,92,Paris Saint Germain,LW
Frenkie de Jong,22,85,91,FC Barcelona,CM
Alisson,26,89,91,Liverpool,GK
Ederson,25,88,91,Manchester City,GK
Virgil van Dijk,27,90,91,Liverpool,CB
Harry Kane,25,89,91,Tottenham Hotspur,ST
Kalidou Koulibaly,28,89,91,Napoli,CB
Paul Pogba,26,88,91,Manchester United,CM
Kevin De Bruyne,28,91,91,Manchester City,CAM
Eden Hazard,28,91,91,Real Madrid,LW
Phil Foden,19,76,90,Manchester City,CAM
Milan Skriniar,24,86,90,Inter,CB
Rodri,23,85,90,Manchester City,CDM
Ousmane Dembele,22,84,90,FC Barcelona,RW
Fabian,23,83,90,Napoli,CM
Sergej Milinkovic-Savic,24,85,90,Lazio,CM
Bernardo Silva,24,87,90,Manchester City,RW
N'Golo Kante,28,89,90,Chelsea,CDM
Aymeric Laporte,25,87,90,Manchester City,CB
Niklas Sule,23,85,90,FC Bayern Munchen,CB
Mohamed Salah,27,90,90,Liverpool,RW
Marquinhos,25,86,90,Paris Saint Germain,CB
Raheem Sterling,24,88,90,Manchester City,RW
Raphael Varane,26,85,90,Real Madrid,CB
De Gea,28,89,90,Manchester United,GK
Luka Modric,33,90,90,Real Madrid,CM
